topic,term,beta
4,vegetables,3.7209011227076175e-4
5,vegetables,0.001029217628947875
6,vegetables,0.0011838929315115146
7,vegetables,0.004575913136908926
8,vegetables,0.0012532356387094687
9,vegetables,6.732722097950702e-4
10,vegetables,8.57143300766747e-4
1,venture,3.7625912068903712e-6
2,venture,7.686528547944925e-45
3,venture,9.087967235692974e-5
4,venture,5.341865769908989e-4
5,venture,8.589268959029553e-4
6,venture,5.8601519041649786e-5
7,venture,2.992653533880066e-4
8,venture,6.773496409262271e-4
9,venture,8.720091421363517e-5
10,venture,1.5597300873961038e-16
1,village,3.003232974556522e-4
2,village,6.638531803964292e-49
3,village,2.7043232535783455e-11
4,village,6.607786137261773e-5
5,village,5.2789765950593146e-36
6,village,5.670124120158481e-4
7,village,9.586517240145531e-4
8,village,6.925940963163639e-4
9,village,3.224712255119276e-5
10,village,6.532010252908989e-56
1,weather,8.393708494165098e-15
2,weather,1.830608904916621e-5
3,weather,3.271768204116216e-5
4,weather,7.649848211468897e-7
5,weather,2.2219332236634695e-4
6,weather,7.947344126025558e-5
7,weather,1.7917152076449874e-4
8,weather,4.2084594876122136e-5
9,weather,7.254637363884723e-5
10,weather,6.129439772686234e-34
1,written,1.4181678652594627e-4
2,written,5.06468203952343e-44
3,written,4.2131563603745296e-284
4,written,1.31268732345068e-4
5,written,8.728377103479672e-284
6,written,1.489334081380639e-36
7,written,2.4924186632116076e-23
8,written,1.45914824895015e-18
9,written,2.922917604602014e-41
10,written,3.170935848378417e-268
1,1000,3.50309517707564e-5
2,1000,1.9951246582402028e-57
3,1000,3.334907382932801e-15
4,1000,1.242262441605151e-8
5,1000,1.1292983341768602e-4
6,1000,7.37121219699543e-5
7,1000,1.216135822829853e-4
8,1000,0.0011346283552957348
9,1000,6.968898925048235e-28
10,1000,1.3095984842657789e-80
1,30,0.0010695298063143983
2,30,2.476084493195042e-4
3,30,1.6452188084271026e-4
4,30,6.379125173504984e-4
5,30,7.188379933926012e-4
6,30,3.341854437214937e-4
7,30,0.0010706441604493267
8,30,8.084892876013402e-4
9,30,0.001465408650483835
10,30,5.398831214175677e-4
1,ago,0.0013829223299086637
2,ago,1.684154891413702e-4
3,ago,0.005547256088269221
4,ago,0.002134291392372568
5,ago,0.004396774905409135
6,ago,0.001272276607045617
7,ago,0.00344389763456708
8,ago,0.0018623360357142844
9,ago,0.005457976451943952
10,ago,6.585880348255842e-4
1,air,1.2568593305403502e-4
2,air,3.1209083603896963e-58
3,air,2.7959264619702782e-5
4,air,1.3984524787611957e-4
5,air,1.5636670043933795e-4
6,air,2.776492941618516e-5
7,air,1.2022630969569961e-4
8,air,8.659365575302099e-4
9,air,3.471461451931337e-5
10,air,1.715821764135609e-78
1,allowed,1.3076131734403776e-4
2,allowed,1.7123453170339306e-5
3,allowed,3.415343994776925e-4
4,allowed,9.941435874850059e-11
5,allowed,0.0010936746980732106
6,allowed,2.0310219476553539e-4
7,allowed,1.586869368396911e-4
8,allowed,1.076150175888576e-4
9,allowed,8.198000370879304e-4
10,allowed,4.659704844976185e-4
1,assisted,2.728980285995964e-16
2,assisted,3.722257528579114e-54
3,assisted,2.1371496402591146e-37
4,assisted,6.151447710118196e-5
5,assisted,1.0534816855858699e-51
6,assisted,4.935452822072326e-15
7,assisted,6.630634402820907e-4
8,assisted,7.683182461813915e-5
9,assisted,1.3219450958591334e-4
10,assisted,5.664418435110828e-257
1,banking,7.76552657713517e-25
2,banking,0.0013189852065114064
3,banking,1.2754136365885386e-119
4,banking,5.320508736488773e-117
5,banking,6.413943746788333e-18
6,banking,4.348373013455948e-96
7,banking,3.8199192200025834e-45
8,banking,7.090679176907477e-16
9,banking,1.016448322068976e-49
10,banking,5.48031587431683e-53
1,betty,1.2756344385596145e-15
2,betty,2.4339069749033456e-46
3,betty,1.1852254839192596e-267
4,betty,2.8461290301440732e-24
5,betty,1.6808230349655908e-4
6,betty,4.6463399036973724e-138
7,betty,1.4961059430506673e-14
8,betty,3.377428314176217e-5
9,betty,3.6828902957456995e-4
10,betty,8.643597139268332e-200
1,businesses,3.5151824768973263e-10
2,businesses,7.115720875463038e-4
3,businesses,8.461661384747171e-4
4,businesses,0.0043267672245148004
5,businesses,0.0016435584920457505
6,businesses,0.008173050013234467
7,businesses,8.985613678125128e-4
8,businesses,0.0029903909542905527
9,businesses,0.0018699794168308772
10,businesses,2.6658004911178727e-4
1,called,9.168431059575148e-4
2,called,1.6405428348873996e-5
3,called,2.061004487671698e-4
4,called,8.518174750540518e-4
5,called,3.6260610243552617e-4
6,called,0.003176784857254547
7,called,8.998086820185781e-5
8,called,4.680343351472483e-4
9,called,3.1933843858742535e-8
10,called,8.114285115095501e-4
1,child,0.0010138059599271295
2,child,6.623071707095426e-5
3,child,6.606753917334247e-4
4,child,0.005686338426187612
5,child,0.0010380015283410024
6,child,8.103725095894582e-4
7,child,0.0015313977863679992
8,child,0.002260784774327323
9,child,7.577063891982415e-4
10,child,2.400706267643597e-4
1,college,0.0037757077911860777
2,college,5.7433546633176384e-5
3,college,1.896236742312936e-12
4,college,0.003616385674146113
5,college,0.001018836884521609
6,college,9.139642771118961e-4
7,college,0.00313762356529071
8,college,4.488465011958026e-4
9,college,4.7774984388062756e-5
10,college,2.1826455078887976e-25
1,creating,2.535958015738624e-4
2,creating,1.0670098145016274e-50
3,creating,2.159556108235518e-28
4,creating,6.830683686132342e-5
5,creating,4.841280502020187e-37
6,creating,6.964197919721464e-5
7,creating,5.5518458276225134e-5
8,creating,1.9227730551910877e-4
9,creating,2.935520032145593e-5
10,creating,1.1953371404928096e-4
1,creation,5.3127324028871726e-6
2,creation,1.960596806943219e-36
3,creation,3.643146174953794e-275
4,creation,1.3347236363440427e-248
5,creation,3.079815218065779e-274
6,creation,1.9721849133971295e-273
7,creation,2.65686983249823e-22
8,creation,1.1108980017967089e-5
9,creation,3.682401864026249e-5
10,creation,1.6465357439970412e-266
1,customer,2.7310846112906096e-5
2,customer,3.5036039751942736e-41
3,customer,5.187567116379237e-4
4,customer,8.049030915788985e-5
5,customer,5.451451945909319e-4
6,customer,1.9311504892288364e-4
7,customer,1.589346942609918e-4
8,customer,0.0014049232697628837
9,customer,7.151219732196855e-4
10,customer,1.972017563449855e-26
1,customers,0.0014458717471652657
2,customers,8.680182104376034e-46
3,customers,0.008350320355898642
4,customers,0.011097265424152555
5,customers,0.0014195759703488548
6,customers,0.0013041716765307923
7,customers,9.078773009376157e-4
8,customers,0.007208027290674142
9,customers,0.006120426826984403
10,customers,4.8023192156753216e-4
1,demonstrates,1.977609489012509e-9
2,demonstrates,1.2568663954997573e-51
3,demonstrates,2.884086720428831e-177
4,demonstrates,1.237344279485506e-31
5,demonstrates,1.2903461585269352e-146
6,demonstrates,6.318107035657859e-5
7,demonstrates,9.629229146108757e-5
8,demonstrates,8.877044534997023e-21
9,demonstrates,9.502866680040483e-29
10,demonstrates,2.156450345806855e-66
1,deserted,6.745709498237875e-5
2,deserted,2.7921200032961083e-55
3,deserted,4.81025856519942e-280
4,deserted,7.084136707403537e-5
5,deserted,1.0226231255117563e-280
6,deserted,2.2914369845477727e-35
7,deserted,1.7166262551490244e-19
8,deserted,4.291426931626241e-16
9,deserted,2.505227378949861e-38
10,deserted,7.78084127432984e-272
1,died,0.002739678104558134
2,died,1.1755717570327494e-45
3,died,4.891032213486367e-5
4,died,6.873654460266254e-13
5,died,3.960832324815603e-42
6,died,2.81700773925539e-5
7,died,9.168007163573592e-5
8,died,2.9125008220860093e-4
9,died,1.003437663188192e-4
10,died,8.26205536095809e-5
1,due,0.0017574991068393113
2,due,0.003096386112996704
3,due,1.9357761522428973e-4
4,due,5.043476120586021e-4
5,due,7.331690675495806e-4
6,due,2.1565989874024153e-4
7,due,0.002755757465671453
8,due,0.006229116229086865
9,due,0.0011834756042186504
10,due,1.8450586420724378e-4
1,father's,1.3773109065064626e-4
2,father's,4.884426820480099e-5
3,father's,2.2294629306944352e-23
4,father's,7.872163343215654e-11
5,father's,1.1107693054434882e-17
6,father's,4.3975947612152244e-20
7,father's,2.808688505768742e-5
8,father's,1.6736593224071732e-9
9,father's,4.224278077260521e-5
10,father's,2.0938933274125055e-222
1,feature,7.1252060782285e-7
2,feature,3.2872660827627287e-19
3,feature,2.3736888376235664e-30
4,feature,1.6100727384915623e-23
5,feature,1.6047466276037123e-266
6,feature,2.1323892493933727e-5
7,feature,2.1452507749920424e-5
8,feature,1.1396419703688904e-5
9,feature,1.7243525803147662e-5
10,feature,1.6697344147814963e-231
1,fees,0.005716173601630897
2,fees,1.3127769514437527e-58
3,fees,3.756230005759858e-28
4,fees,2.5586810562103267e-18
5,fees,2.7121403910485157e-54
6,fees,1.2568647252339856e-30
7,fees,0.004814291578733573
8,fees,0.0031743568242830764
9,fees,7.468352164892918e-40
10,fees,1.5552605539119103e-78
1,funds,4.994763939418032e-10
2,funds,5.237145563146036e-34
3,funds,0.0016020400854889823
4,funds,0.0011736218776869339
5,funds,7.943353373795434e-33
6,funds,4.966084952696788e-4
7,funds,1.7751594051620785e-4
8,funds,0.0022812195642269322
9,funds,1.7162022781842034e-4
10,funds,3.2720973500284352e-43
1,girl,0.0010572180820040487
2,girl,2.444424955683067e-54
3,girl,0.0012830037161296714
4,girl,5.114025740400042e-4
5,girl,3.1926166111406786e-17
6,girl,3.371940538641336e-8
7,girl,2.5178077366702205e-4
8,girl,2.9798061755491404e-4
9,girl,1.1840374762864212e-14
10,girl,1.2953414964716778e-4
1,girls,8.438834271788106e-4
2,girls,3.8443050782211087e-59
3,girls,0.002026315183746774
4,girls,1.1979827765198913e-5
5,girls,7.498006425572806e-24
6,girls,9.79823182393221e-5
7,girls,4.8772348324457545e-4
8,girls,8.848877006510306e-4
9,girls,3.647983575806064e-8
10,girls,1.4813935605700824e-209
1,grocery,3.889146021794486e-11
2,grocery,1.42442197742119e-48
3,grocery,0.0031072273535203707
4,grocery,6.903301847109799e-8
5,grocery,8.35611952537979e-5
6,grocery,0.0017031977793765154
7,grocery,3.055939331352319e-4
8,grocery,6.79567699937281e-4
9,grocery,3.413345620279654e-4
10,grocery,8.280889527587095e-5
1,husband,0.006299188517810437
2,husband,2.3705126478631901e-4
3,husband,0.010786697932429356
4,husband,0.004158508021964535
