topic,term,beta
1,150,0.0020005090548902995
2,150,1.7777613282986743e-4
3,150,4.8165501435951845e-4
4,150,2.7893731094742925e-4
5,150,0.003780990753541443
6,150,0.0013121650973419508
7,150,5.6485851181760615e-12
8,150,8.197639435346201e-13
9,150,6.676820818269514e-23
10,150,0.0029709349782369937
11,150,2.3251699549385463e-4
12,150,2.0610584546765174e-61
1,40,0.0013386403273975976
2,40,7.728542351702562e-4
3,40,0.0014388011784077978
4,40,3.9781090104544205e-4
5,40,2.4050922918214296e-4
6,40,4.043575336644532e-4
7,40,5.592389613775465e-4
8,40,2.8280661630391207e-4
9,40,7.945334840406795e-5
10,40,6.443209333590631e-4
11,40,4.7615884582422833e-4
12,40,1.2708115220107143e-4
1,5,0.0022911698303754065
2,5,0.001940469350873237
3,5,7.246613109223204e-4
4,5,0.002086131457480059
5,5,0.0013023814682126887
6,5,0.0020024352522390867
7,5,0.00268509436253778
8,5,0.004190146459146146
9,5,2.2110179114258486e-11
10,5,0.001763606654958528
11,5,4.889144200133106e-4
12,5,0.0030477909913217325
1,500,1.8366609468553425e-6
2,500,2.516535829313429e-7
3,500,5.607031979319122e-4
4,500,2.0661222598279488e-66
5,500,0.001082207424191802
6,500,8.916847825880808e-7
7,500,1.289068256492455e-4
8,500,6.100272072461949e-15
9,500,6.200717472241399e-40
10,500,0.0029514407100654583
11,500,6.685193714941506e-4
12,500,1.3025978390943463e-64
1,6,0.002138372835377644
2,6,0.002899704855473875
3,6,3.856777111298644e-4
4,6,0.002580777988251384
5,6,1.47734836216054e-4
6,6,0.0013532013740105435
7,6,0.0034247976894069
8,6,0.0020432388877993793
9,6,4.0485404899767804e-5
10,6,9.23379074065685e-4
11,6,5.061278019508027e-4
12,6,0.004903910493286831
1,8,6.265747310558564e-4
2,8,0.0020030170762492853
3,8,7.907745285959176e-4
4,8,0.0019836213979840143
5,8,2.922041847195356e-4
6,8,0.0018367904351338303
7,8,0.002897554604518594
8,8,8.56723850955946e-4
9,8,8.082087977780092e-5
10,8,2.0999509835224305e-4
11,8,0.0012293612847583746
12,8,8.161788888478753e-5
1,activities,0.0019531335087132153
2,activities,2.154288591571541e-4
3,activities,7.640477921079531e-4
4,activities,6.371076354237363e-57
5,activities,4.1033972529117707e-4
6,activities,8.402947551870184e-6
7,activities,3.178310606189744e-4
8,activities,0.001507762841767675
9,activities,1.8394377251399556e-4
10,activities,1.685085617396887e-4
11,activities,6.631024813638809e-5
12,activities,0.0013195634568254316
1,addition,5.442503327314003e-4
2,addition,1.2321424018889916e-14
3,addition,9.706367233670889e-4
4,addition,1.8550496292279726e-4
5,addition,6.043198760731906e-4
6,addition,6.722545278431739e-4
7,addition,7.660172948049618e-4
8,addition,2.3166861832102294e-4
9,addition,3.260879254668549e-4
10,addition,1.0350455721042541e-4
11,addition,8.621061669087134e-4
12,addition,3.477872208253602e-4
1,amulyoto,1.1653301671343665e-27
2,amulyoto,1.4919383797408575e-60
3,amulyoto,1.4989077357989332e-14
4,amulyoto,4.075913929864896e-60
5,amulyoto,7.729461978788815e-24
6,amulyoto,3.154922632141579e-60
7,amulyoto,1.560116727214555e-40
8,amulyoto,1.969466210560641e-60
9,amulyoto,9.646125247192946e-77
10,amulyoto,5.367201396561933e-28
11,amulyoto,8.653118861808837e-5
12,amulyoto,4.970159443855521e-50
1,apprentice,1.0574528768051594e-289
2,apprentice,5.496360942635417e-5
3,apprentice,1.0628423292466206e-4
4,apprentice,1.0181068029029446e-286
5,apprentice,1.8448019431587764e-13
6,apprentice,5.645144924713291e-210
7,apprentice,1.3992598914465101e-5
8,apprentice,2.0717386448110246e-43
9,apprentice,4.598118145807219e-60
10,apprentice,2.7467159015148115e-5
11,apprentice,2.589158737593414e-6
12,apprentice,1.061888733428949e-133
1,brothers,2.291058338753706e-5
2,brothers,2.9683126541239546e-4
3,brothers,3.213573487911676e-9
4,brothers,3.040063308309773e-4
5,brothers,1.8224442914294283e-4
6,brothers,1.4563482475176594e-23
7,brothers,2.511870808301398e-4
8,brothers,3.295208105604569e-11
9,brothers,1.2253605920808336e-4
10,brothers,8.078739444103186e-4
11,brothers,4.7497591371066115e-4
12,brothers,6.566047343594139e-5
1,buying,0.0021200505451642944
2,buying,0.001074897442626608
3,buying,6.556671864926503e-4
4,buying,2.512231731290282e-4
5,buying,0.0023630027137276585
6,buying,0.0010383135987917398
7,buying,0.0015726713524641376
8,buying,7.166442692666721e-4
9,buying,3.621632175900806e-4
10,buying,0.0015479188353449396
11,buying,6.315283387836899e-4
12,buying,8.890698293237593e-5
1,capital,4.6938388682383835e-4
2,capital,0.0041234901696876256
3,capital,3.307185757258242e-6
4,capital,0.0032639347391698144
5,capital,0.0048003168787556835
6,capital,0.0015729880044252167
7,capital,0.003927923019938942
8,capital,0.0017502113110078065
9,capital,0.002923794713893025
10,capital,0.005221122967234261
11,capital,0.0021221113353506907
12,capital,0.0070623097625955944
1,care,1.9270498727557475e-4
2,care,9.59852418051781e-4
3,care,0.006329878462752207
4,care,1.1675346212305205e-4
5,care,0.0010732712693290226
6,care,0.001435148717879262
7,care,7.566511532743103e-4
8,care,0.002204625140898343
9,care,0.002606356580095728
10,care,0.004245084556634686
11,care,0.004624493135482517
12,care,8.44164228287468e-5
1,children,0.026032752819037747
2,children,0.013325718123995654
3,children,0.01985792453874696
4,children,0.004881953345177091
5,children,0.020362836468921473
6,children,0.011043331737486655
7,children,0.018311119327926503
8,children,0.02329699673263697
9,children,0.015333432699331078
10,children,0.020273401562787674
11,children,0.012203503738549651
12,children,0.002057723331692983
1,completed,9.081144579845992e-4
2,completed,3.9341063363427175e-14
3,completed,2.59742614248682e-6
4,completed,5.4886647850463365e-54
5,completed,0.0021678512731178276
6,completed,3.958835690480746e-4
7,completed,2.6529833927693172e-5
8,completed,3.095308611139551e-4
9,completed,2.1546575888431155e-22
10,completed,8.319748685106391e-4
11,completed,2.4459867818295235e-4
12,completed,3.3844093378471164e-56
1,current,3.1266180198496606e-4
2,current,2.537863102926412e-4
3,current,5.6847783333657194e-6
4,current,2.3129682869151168e-4
5,current,0.001218652489815687
6,current,0.0016161759734656454
7,current,3.824631996002502e-4
8,current,5.741437035967008e-4
9,current,1.8691369365284816e-4
10,current,6.660279745195778e-4
11,current,0.0013988252668024495
12,current,4.407070601801535e-53
1,description,4.985514036064578e-53
2,description,1.3654243943561323e-39
3,description,1.0691483664059876e-35
4,description,2.4306666227752142e-36
5,description,9.452079828559056e-32
6,description,1.9928145292641818e-37
7,description,0.006589811567461066
8,description,6.217989459073566e-67
9,description,1.2678340254033671e-55
10,description,4.3598725052936016e-41
11,description,2.4668001202366106e-31
12,description,8.455739248892359e-66
1,diversified,3.572382454415714e-11
2,diversified,7.612221584996903e-5
3,diversified,1.9043385596665535e-4
4,diversified,3.720075976020836e-44
5,diversified,2.8716736138039144e-4
6,diversified,9.353280743006257e-28
7,diversified,3.876592691053945e-12
8,diversified,2.475031774897078e-5
9,diversified,1.9164339949322048e-13
10,diversified,3.181573264149605e-5
11,diversified,1.8250779239940525e-4
12,diversified,1.4768383349060745e-34
1,employment,2.11672750262515e-23
2,employment,8.742509276757006e-36
3,employment,7.623491827760221e-4
4,employment,7.804423806430364e-72
5,employment,5.8821117102376405e-5
6,employment,1.3860265310995652e-10
7,employment,7.15198683603884e-5
8,employment,4.8186063038915036e-4
9,employment,4.492341007696131e-5
10,employment,6.621360537246405e-4
11,employment,0.002473590456706475
12,employment,1.8006498910688064e-57
1,enterprise,8.120133360732758e-8
2,enterprise,4.565968967303387e-5
3,enterprise,3.0685121985596415e-22
4,enterprise,1.9014702582986927e-4
5,enterprise,1.205014079939379e-19
6,enterprise,8.909192420973576e-5
7,enterprise,4.5638259111251544e-5
8,enterprise,2.9868122720724957e-22
9,enterprise,8.874439939358314e-5
10,enterprise,3.775888503764398e-9
11,enterprise,0.001677693438919525
12,enterprise,1.3373865377270923e-53
1,extension,1.903732575945306e-26
2,extension,5.22007352660681e-5
3,extension,7.010363375507982e-5
4,extension,3.720075976020836e-44
5,extension,7.427318955272101e-5
6,extension,3.3468953956044326e-11
7,extension,6.440856708850667e-36
8,extension,4.2345161841348003e-20
9,extension,5.3488570106641805e-16
10,extension,2.7176693469436912e-5
11,extension,1.277530013228506e-4
12,extension,1.9941771394526614e-56
1,family,0.0047940571535192884
2,family,0.006721010184852594
3,family,0.009819169487980846
4,family,0.0012488306762005114
5,family,0.009121533416205658
6,family,0.006356590807403011
7,family,0.008206980174071747
8,family,0.0052227237309454624
9,family,0.007801974179219268
10,family,0.016323109872023688
11,family,0.004890491247764577
12,family,0.0012244841066983553
1,fertilizers,3.004829111940675e-11
2,fertilizers,3.813085173447664e-99
3,fertilizers,0.0033269547215812995
4,fertilizers,2.5681472624457574e-22
5,fertilizers,8.699759073410426e-19
6,fertilizers,1.5101807967553e-311
7,fertilizers,5.458558417316649e-23
8,fertilizers,3.408087380918443e-76
9,fertilizers,2.0691259749383693e-210
10,fertilizers,3.433359115416665e-30
11,fertilizers,7.883772902029558e-63
12,fertilizers,8.782264064655882e-5
1,fund,0.002128320555691168
2,fund,1.2327665980551645e-6
3,fund,8.940549974523803e-8
4,fund,4.174054805405089e-95
5,fund,5.119704781073705e-9
6,fund,0.0014683418220959566
7,fund,1.1150856983456872e-32
8,fund,7.128525685450164e-5
9,fund,1.5912628557405126e-50
10,fund,3.628357715253849e-14
