id,username,timestamp,link,tweet,retweets,likes
"249313510197174273","JoeBiden","2012-09-22 06:35","https://twitter.com/JoeBiden/status/249313510197174273","VP on Romney’s 47% comment: “Let’s take a look at the people who they think he has no responsibility toward, or who are dependent.”",47,8
"249310942154854400","JoeBiden","2012-09-22 06:25","https://twitter.com/JoeBiden/status/249310942154854400","“I believe he genuinely believes that nearly half this country is made up of people who see themselves as victims.”—VP Biden on Romney",127,36
"249308450083979264","JoeBiden","2012-09-22 06:15","https://twitter.com/JoeBiden/status/249308450083979264","“We are certain we will meet the goal in this country of once again having the highest percentage of college graduates by 2020.” # VPinNH",46,12
"249305887007719424","JoeBiden","2012-09-22 06:05","https://twitter.com/JoeBiden/status/249305887007719424","VP Biden: “We’ve invested in early education to eliminate the achievement gap before kids hit second grade.”",61,16
"249303366637858816","JoeBiden","2012-09-22 05:55","https://twitter.com/JoeBiden/status/249303366637858816","“We capped student loan repayments at 10 percent of your disposable income. It matters in what you’ll be able to do.”—VP Biden",93,23
"249300932502896640","JoeBiden","2012-09-22 05:45","https://twitter.com/JoeBiden/status/249300932502896640","“Jill has an expression: Any nation that out-educates us will out-compete us. It means we must be the best-educated nation in the world.”",150,33
"249297410726174720","JoeBiden","2012-09-22 05:31","https://twitter.com/JoeBiden/status/249297410726174720","VP Biden stands up for the 47% of Americans who Romney wrote off this week: http://OFA.BO/vvYu8C",492,140
"249292696328486913","JoeBiden","2012-09-22 05:13","https://twitter.com/JoeBiden/status/249292696328486913","VP Biden: “The President and I have a fundamentally different vision for this country and a fundamentally different value set.”",319,56
"249202236062842880","JoeBiden","2012-09-21 23:13","https://twitter.com/JoeBiden/status/249202236062842880","How the Bidens do fall (with a 36-pound pumpkin):pic.twitter.com/qvCfv0lZ",286,180
"248943057079246848","JoeBiden","2012-09-21 06:03","https://twitter.com/JoeBiden/status/248943057079246848","One year ago today, President Obama ended “Don’t Ask, Don’t Tell': http://OFA.BO/UVc6ZR",116,24
"248879122443563008","JoeBiden","2012-09-21 01:49","https://twitter.com/JoeBiden/status/248879122443563008","You've got to get involved—we've got the last Dinner with Barack of this campaign coming up: http://OFA.BO/oNPung",25,4
"248820741821313024","JoeBiden","2012-09-20 21:57","https://twitter.com/JoeBiden/status/248820741821313024","Grabbing a bite in Muscatine, Iowa:pic.twitter.com/5FWSbVTm",33,21
"248589250801590272","JoeBiden","2012-09-20 06:37","https://twitter.com/JoeBiden/status/248589250801590272","Check out the highlights from Dr. Jill Biden’s trip to colleges in Minnesota and Pennsylvania last week: http://OFA.BO/pGdrMo",19,6
"248540102232510464","JoeBiden","2012-09-20 03:22","https://twitter.com/JoeBiden/status/248540102232510464","Pass it on:pic.twitter.com/CMqZ5hj2",1076,229
"248486116712398848","JoeBiden","2012-09-19 23:48","https://twitter.com/JoeBiden/status/248486116712398848","PHOTOS: With just eight days to go until early voting starts in Iowa, VP Biden found folks fired up and ready to go. http://OFA.BO/4PtfwQ",31,6
"248459309468508161","JoeBiden","2012-09-19 22:01","https://twitter.com/JoeBiden/status/248459309468508161","Join Americans of faith who are supporting @ BarackObama: http://OFA.BO/rBfVrH",28,8
"248434621958737920","JoeBiden","2012-09-19 20:23","https://twitter.com/JoeBiden/status/248434621958737920","Pumpkin time means it’s voting season in the Hawkeye State:pic.twitter.com/eUhTy0uv",36,23
"248104572214710272","JoeBiden","2012-09-18 22:31","https://twitter.com/JoeBiden/status/248104572214710272","Watch Gloria’s story—it’s powerful stuff: http://OFA.BO/sTA49a",30,9
"248066539645968384","JoeBiden","2012-09-18 20:00","https://twitter.com/JoeBiden/status/248066539645968384","VP in Iowa: “It's time to stand up for the middle class. And you can start moving in that direction in 10 days when early voting starts.”",39,8
"248063962116149250","JoeBiden","2012-09-18 19:50","https://twitter.com/JoeBiden/status/248063962116149250","“I don't live in a country that's dependent or declining. There is no give-up anywhere in America.”—VP Biden",197,42
"248061545211387904","JoeBiden","2012-09-18 19:40","https://twitter.com/JoeBiden/status/248061545211387904","VP: “The President and I have a different way forward. We know the way to create jobs is the old-fashioned way—from the middle out.”",39,7
"248057681519198208","JoeBiden","2012-09-18 19:25","https://twitter.com/JoeBiden/status/248057681519198208","VP Biden on Romney: “He is totally out of touch with the reality of what ordinary Americans deal with every day. He does not get it.”",175,26
"248055195274194944","JoeBiden","2012-09-18 19:15","https://twitter.com/JoeBiden/status/248055195274194944","VP Biden in IA: “The President has brought more trade cases against China in one term than the Bush administration did in eight years.”",58,8
"248052635800834048","JoeBiden","2012-09-18 19:05","https://twitter.com/JoeBiden/status/248052635800834048","“President Obama understands that creating jobs here, keeping jobs here, bringing jobs back to America, that's the job of the President.”",82,9
"248050116743815168","JoeBiden","2012-09-18 18:55","https://twitter.com/JoeBiden/status/248050116743815168","On Romney’s jobs plan: “It will create 800,000 jobs—all of them overseas—and we’re being lectured by this guy about getting tough on China?”",109,19
"248047655371038720","JoeBiden","2012-09-18 18:45","https://twitter.com/JoeBiden/status/248047655371038720","VP on Romney (2/2): “The President won that case. As a consequence, 1,000 workers are making tires in this country and earning a good wage.”",25,5
"248046356759973888","JoeBiden","2012-09-18 18:40","https://twitter.com/JoeBiden/status/248046356759973888","VP on Romney (1/2): “He called the President a protectionist for stepping up and stopping an unfair surge of Chinese automobile tires.”",34,5
"248043321367351297","JoeBiden","2012-09-18 18:28","https://twitter.com/JoeBiden/status/248043321367351297","VP in Iowa: “Isn’t it great having a President who thinks it matters whether or not there’s still an auto industry in the United States?”",49,12
"247806478382141443","JoeBiden","2012-09-18 02:47","https://twitter.com/JoeBiden/status/247806478382141443","50 days left till the election—sign up to make a difference now: http://OFA.BO/Cj4M9G",27,3
"247803979197718529","JoeBiden","2012-09-18 02:37","https://twitter.com/JoeBiden/status/247803979197718529","Just a few ways President Obama is moving this country forward: http://OFA.BO/JAP7CS",49,12
"247408396804952064","JoeBiden","2012-09-17 00:25","https://twitter.com/JoeBiden/status/247408396804952064","Join Dr. Jill Biden as a woman for Obama: http://OFA.BO/FZPHxg",56,7
"247407160340922370","JoeBiden","2012-09-17 00:20","https://twitter.com/JoeBiden/status/247407160340922370","“From now until Election Day, I want to ask for everything you’ve got to help support President Obama and my husband.”—Dr. Biden in PA",54,18
